Episode,ICM Inverse Loss,ICM Forward Loss,Actor Loss,Critic Loss,Total Loss,Rewards,Intrinsic Reward
1,0.40166619420051575,0.0039048207458108664,-0.00032163336873054505,349.7923828125,1.9372890949249268,1553.3632137333802,321.6413330666719
2,0.5138541340827942,0.005248141661286354,-0.0017267977818846703,869.2307006835938,4.5897948265075685,-1070.5360789633216,161.92420578524448
3,0.41437494158744814,0.00233472305117175,-0.0006455666851252317,757.6829895019531,3.9819208860397337,1172.1519091138634,129.54132563844288
4,0.423094642162323,0.0026251418166793883,-0.0007027126848697662,165.41261138916016,1.0251028656959533,1421.1784034320601,91.30253162793794
5,0.4608279824256897,0.0013843853725120426,-0.007738017104566097,41.493873023986815,0.4166210532188416,2632.3855728367707,84.06095128394666
6,0.41773362159729005,0.001613047206774354,-0.019062756467610596,62.357384872436526,0.4879720449447632,3901.950118404327,97.78828051164734
7,0.3090172618627548,0.0019814987201243637,-0.0013537967577576637,95.8915023803711,0.6191237688064575,3489.502148587465,66.31367150172596
8,0.4650229632854462,0.002491044346243143,-0.016810179967433215,141.43358306884767,0.9095937848091126,3524.462153665205,68.95334558691833
9,0.2654817640781403,0.0021273688296787443,0.0006026595830917359,189.3909683227539,1.0668878436088562,4252.1468881773435,73.75679615549744
10,0.4549417614936829,0.003048614296130836,-0.00021532420068979264,114.77236862182617,0.7882082879543304,3702.3282846016114,86.15656171012664
11,0.41811840832233427,0.0015112594002857805,-0.008192257676273584,56.07755126953125,0.4675668954849243,2552.9335869391675,75.68943490609529
12,0.3554426312446594,7.832773626432754e-05,-0.0026001354679465296,61.92868766784668,0.47048874497413634,1954.925855042276,58.65073362814736
13,0.32280199229717255,0.003087750030681491,-0.008642491325736046,114.64805679321289,0.713317745923996,2563.5210935810105,62.32793664801862
14,0.41464351713657377,0.001945522055029869,-0.006734258867800236,297.8543365478516,1.6767378449440002,2128.061027208459,62.86886420575912
15,0.269196555018425,0.00015624076477251946,-0.00032850410789251325,36.825927734375,0.3044367253780365,-387.6337371757726,37.5918201781809
16,0.4966255873441696,0.0008605238748714328,-0.0019449973478913307,206.7286163330078,1.266578483581543,1197.2310720567189,48.01122918096362
17,0.41799378097057344,0.00023448409701813943,-0.010355018079280853,1725.371826171875,8.811536645889282,1390.652832857594,55.68870175732285
18,0.3763334393501282,0.0037478744285181164,-0.0029275663197040557,782.6055603027344,4.085817623138428,1114.6396265317483,54.788843988347814
19,0.4453709661960602,0.0014055053587071597,-5.363449454307556e-05,110.60165176391601,0.7619977533817291,1468.7442379766705,56.509961619879974
20,0.36012831032276155,0.0014527725288644433,-0.007167762704193592,151.9458465576172,0.9190791070461273,2421.7874343128606,58.48997411839661
21,0.36471814215183257,0.0006363693624734879,-0.0037131216377019882,195.90413360595704,1.1443718552589417,2190.3750978115168,51.56759304995635
22,0.40709425806999205,0.0017086029169149698,-0.002900981716811657,1134.620361328125,5.860302734375,2664.2113009515924,51.286436107568555
23,0.42362111508846284,0.0005334482149919495,-0.0016768693923950196,148.49871978759765,0.9384530186653137,3600.037786538959,63.945503298192996
24,0.31563269197940824,0.0005322211887687445,-0.005086292140185833,173.0382293701172,1.0036177933216095,3145.542524767309,44.65017014900219
